"Program","Year","Period","Week Ending","Geo Level","State","State ANSI","Ag District","Ag District Code","County","County ANSI","Zip Code","Region","watershed_code","Watershed","Commodity","Data Item","Domain","Domain Category","Value","CV (%)"
"CENSUS","2012","YEAR","","COUNTY","ARKANSAS","05","CENTRAL","50","CONWAY","029","","","00000000","","RICE","RICE - PRODUCTION, MEASURED IN CWT","TOTAL","NOT SPECIFIED","64,545","18.3"
"CENSUS","2012","YEAR","","COUNTY","ARKANSAS","05","CENTRAL","50","FAULKNER","045","","","00000000","","RICE","RICE - PRODUCTION, MEASURED IN CWT","TOTAL","NOT SPECIFIED","212,906","18.3"
"CENSUS","2012","YEAR","","COUNTY","ARKANSAS","05","CENTRAL","50","PERRY","105","","","00000000","","RICE","RICE - PRODUCTION, MEASURED IN CWT","TOTAL","NOT SPECIFIED","84,286","18.3"
"CENSUS","2012","YEAR","","COUNTY","ARKANSAS","05","CENTRAL","50","PULASKI","119","","","00000000","","RICE","RICE - PRODUCTION, MEASURED IN CWT","TOTAL","NOT SPECIFIED","505,615","18.3"
"CENSUS","2012","YEAR","","COUNTY","ARKANSAS","05","EAST CENTRAL","60","ARKANSAS","001","","","00000000","","RICE","RICE - PRODUCTION, MEASURED IN CWT","TOTAL","NOT SPECIFIED","8,507,197","18.3"
"CENSUS","2012","YEAR","","COUNTY","ARKANSAS","05","EAST CENTRAL","60","CRITTENDEN","035","","","00000000","","RICE","RICE - PRODUCTION, MEASURED IN CWT","TOTAL","NOT SPECIFIED","2,858,406","18.3"
"CENSUS","2012","YEAR","","COUNTY","ARKANSAS","05","EAST CENTRAL","60","CROSS","037","","","00000000","","RICE","RICE - PRODUCTION, MEASURED IN CWT","TOTAL","NOT SPECIFIED","4,777,299","18.3"
"CENSUS","2012","YEAR","","COUNTY","ARKANSAS","05","EAST CENTRAL","60","LEE","077","","","00000000","","RICE","RICE - PRODUCTION, MEASURED IN CWT","TOTAL","NOT SPECIFIED","1,487,328","18.3"
"CENSUS","2012","YEAR","","COUNTY","ARKANSAS","05","EAST CENTRAL","60","LONOKE","085","","","00000000","","RICE","RICE - PRODUCTION, MEASURED IN CWT","TOTAL","NOT SPECIFIED","5,899,713","18.3"
"CENSUS","2012","YEAR","","COUNTY","ARKANSAS","05","EAST CENTRAL","60","MONROE","095","","","00000000","","RICE","RICE - PRODUCTION, MEASURED IN CWT","TOTAL","NOT SPECIFIED","4,189,421","18.3"
"CENSUS","2012","YEAR","","COUNTY","ARKANSAS","05","EAST CENTRAL","60","PHILLIPS","107","","","00000000","","RICE","RICE - PRODUCTION, MEASURED IN CWT","TOTAL","NOT SPECIFIED","1,345,412","18.3"
"CENSUS","2012","YEAR","","COUNTY","ARKANSAS","05","EAST CENTRAL","60","PRAIRIE","117","","","00000000","","RICE","RICE - PRODUCTION, MEASURED IN CWT","TOTAL","NOT SPECIFIED","4,809,780","18.3"
"CENSUS","2012","YEAR","","COUNTY","ARKANSAS","05","EAST CENTRAL","60","SAINT FRANCIS","123","","","00000000","","RICE","RICE - PRODUCTION, MEASURED IN CWT","TOTAL","NOT SPECIFIED","3,273,229","18.3"
"CENSUS","2012","YEAR","","COUNTY","ARKANSAS","05","EAST CENTRAL","60","WOODRUFF","147","","","00000000","","RICE","RICE - PRODUCTION, MEASURED IN CWT","TOTAL","NOT SPECIFIED","4,384,930","18.3"
"CENSUS","2012","YEAR","","COUNTY","ARKANSAS","05","NORTHEAST","30","CLAY","021","","","00000000","","RICE","RICE - PRODUCTION, MEASURED IN CWT","TOTAL","NOT SPECIFIED","6,404,954","18.3"
"CENSUS","2012","YEAR","","COUNTY","ARKANSAS","05","NORTHEAST","30","CRAIGHEAD","031","","","00000000","","RICE","RICE - PRODUCTION, MEASURED IN CWT","TOTAL","NOT SPECIFIED","5,439,791","18.3"
"CENSUS","2012","YEAR","","COUNTY","ARKANSAS","05","NORTHEAST","30","GREENE","055","","","00000000","","RICE","RICE - PRODUCTION, MEASURED IN CWT","TOTAL","NOT SPECIFIED","6,099,572","18.3"
"CENSUS","2012","YEAR","","COUNTY","ARKANSAS","05","NORTHEAST","30","INDEPENDENCE","063","","","00000000","","RICE","RICE - PRODUCTION, MEASURED IN CWT","TOTAL","NOT SPECIFIED","704,028","18.3"
"CENSUS","2012","YEAR","","COUNTY","ARKANSAS","05","NORTHEAST","30","JACKSON","067","","","00000000","","RICE","RICE - PRODUCTION, MEASURED IN CWT","TOTAL","NOT SPECIFIED","6,159,881","18.3"
"CENSUS","2012","YEAR","","COUNTY","ARKANSAS","05","NORTHEAST","30","LAWRENCE","075","","","00000000","","RICE","RICE - PRODUCTION, MEASURED IN CWT","TOTAL","NOT SPECIFIED","5,301,090","18.3"
"CENSUS","2012","YEAR","","COUNTY","ARKANSAS","05","NORTHEAST","30","MISSISSIPPI","093","","","00000000","","RICE","RICE - PRODUCTION, MEASURED IN CWT","TOTAL","NOT SPECIFIED","2,838,832","18.3"
"CENSUS","2012","YEAR","","COUNTY","ARKANSAS","05","NORTHEAST","30","POINSETT","111","","","00000000","","RICE","RICE - PRODUCTION, MEASURED IN CWT","TOTAL","NOT SPECIFIED","8,078,567","18.3"
"CENSUS","2012","YEAR","","COUNTY","ARKANSAS","05","NORTHEAST","30","RANDOLPH","121","","","00000000","","RICE","RICE - PRODUCTION, MEASURED IN CWT","TOTAL","NOT SPECIFIED","1,977,353","18.3"
"CENSUS","2012","YEAR","","COUNTY","ARKANSAS","05","NORTHEAST","30","WHITE","145","","","00000000","","RICE","RICE - PRODUCTION, MEASURED IN CWT","TOTAL","NOT SPECIFIED","754,072","18.3"
"CENSUS","2012","YEAR","","COUNTY","ARKANSAS","05","SOUTHEAST","90","ASHLEY","003","","","00000000","","RICE","RICE - PRODUCTION, MEASURED IN CWT","TOTAL","NOT SPECIFIED","357,429","18.3"
"CENSUS","2012","YEAR","","COUNTY","ARKANSAS","05","SOUTHEAST","90","CHICOT","017","","","00000000","","RICE","RICE - PRODUCTION, MEASURED IN CWT","TOTAL","NOT SPECIFIED","1,971,482","18.3"
"CENSUS","2012","YEAR","","COUNTY","ARKANSAS","05","SOUTHEAST","90","DESHA","041","","","00000000","","RICE","RICE - PRODUCTION, MEASURED IN CWT","TOTAL","NOT SPECIFIED","1,520,626","18.3"
"CENSUS","2012","YEAR","","COUNTY","ARKANSAS","05","SOUTHEAST","90","DREW","043","","","00000000","","RICE","RICE - PRODUCTION, MEASURED IN CWT","TOTAL","NOT SPECIFIED","517,417","18.3"
"CENSUS","2012","YEAR","","COUNTY","ARKANSAS","05","SOUTHEAST","90","JEFFERSON","069","","","00000000","","RICE","RICE - PRODUCTION, MEASURED IN CWT","TOTAL","NOT SPECIFIED","4,348,172","18.3"
"CENSUS","2012","YEAR","","COUNTY","ARKANSAS","05","SOUTHEAST","90","LINCOLN","079","","","00000000","","RICE","RICE - PRODUCTION, MEASURED IN CWT","TOTAL","NOT SPECIFIED","1,420,438","18.3"
"CENSUS","2012","YEAR","","COUNTY","ARKANSAS","05","SOUTHWEST","70","LAFAYETTE","073","","","00000000","","RICE","RICE - PRODUCTION, MEASURED IN CWT","TOTAL","NOT SPECIFIED"," (D)","(D)"
"CENSUS","2012","YEAR","","COUNTY","ARKANSAS","05","SOUTHWEST","70","LITTLE RIVER","081","","","00000000","","RICE","RICE - PRODUCTION, MEASURED IN CWT","TOTAL","NOT SPECIFIED"," (D)","(D)"
"CENSUS","2012","YEAR","","COUNTY","ARKANSAS","05","SOUTHWEST","70","MILLER","091","","","00000000","","RICE","RICE - PRODUCTION, MEASURED IN CWT","TOTAL","NOT SPECIFIED"," (D)","(D)"
"CENSUS","2012","YEAR","","COUNTY","ARKANSAS","05","WEST CENTRAL","40","CRAWFORD","033","","","00000000","","RICE","RICE - PRODUCTION, MEASURED IN CWT","TOTAL","NOT SPECIFIED"," (D)","(D)"
"CENSUS","2012","YEAR","","COUNTY","ARKANSAS","05","WEST CENTRAL","40","FRANKLIN","047","","","00000000","","RICE","RICE - PRODUCTION, MEASURED IN CWT","TOTAL","NOT SPECIFIED"," (D)","(D)"
"CENSUS","2012","YEAR","","COUNTY","ARKANSAS","05","WEST CENTRAL","40","JOHNSON","071","","","00000000","","RICE","RICE - PRODUCTION, MEASURED IN CWT","TOTAL","NOT SPECIFIED"," (D)","(D)"
"CENSUS","2012","YEAR","","COUNTY","ARKANSAS","05","WEST CENTRAL","40","POPE","115","","","00000000","","RICE","RICE - PRODUCTION, MEASURED IN CWT","TOTAL","NOT SPECIFIED","287,511","18.3"
"CENSUS","2012","YEAR","","COUNTY","ARKANSAS","05","WEST CENTRAL","40","YELL","149","","","00000000","","RICE","RICE - PRODUCTION, MEASURED IN CWT","TOTAL","NOT SPECIFIED"," (D)","(D)"
"CENSUS","2012","YEAR","","COUNTY","CALIFORNIA","06","CENTRAL COAST","40","CONTRA COSTA","013","","","00000000","","RICE","RICE - PRODUCTION, MEASURED IN CWT","TOTAL","NOT SPECIFIED"," (D)","(D)"
"CENSUS","2012","YEAR","","COUNTY","CALIFORNIA","06","CENTRAL COAST","40","MONTEREY","053","","","00000000","","RICE","RICE - PRODUCTION, MEASURED IN CWT","TOTAL","NOT SPECIFIED"," (D)","(D)"
"CENSUS","2012","YEAR","","COUNTY","CALIFORNIA","06","CENTRAL COAST","40","NAPA","055","","","00000000","","RICE","RICE - PRODUCTION, MEASURED IN CWT","TOTAL","NOT SPECIFIED"," (D)","(D)"
"CENSUS","2012","YEAR","","COUNTY","CALIFORNIA","06","NORTHEAST","30","LASSEN","035","","","00000000","","RICE","RICE - PRODUCTION, MEASURED IN CWT","TOTAL","NOT SPECIFIED"," (D)","(D)"
"CENSUS","2012","YEAR","","COUNTY","CALIFORNIA","06","NORTHEAST","30","MODOC","049","","","00000000","","RICE","RICE - PRODUCTION, MEASURED IN CWT","TOTAL","NOT SPECIFIED"," (D)","(D)"
"CENSUS","2012","YEAR","","COUNTY","CALIFORNIA","06","NORTHERN COAST","10","MENDOCINO","045","","","00000000","","RICE","RICE - PRODUCTION, MEASURED IN CWT","TOTAL","NOT SPECIFIED"," (D)","(D)"
"CENSUS","2012","YEAR","","COUNTY","CALIFORNIA","06","SACRAMENTO VALLEY","50","BUTTE","007","","","00000000","","RICE","RICE - PRODUCTION, MEASURED IN CWT","TOTAL","NOT SPECIFIED","8,282,242","10.3"
"CENSUS","2012","YEAR","","COUNTY","CALIFORNIA","06","SACRAMENTO VALLEY","50","COLUSA","011","","","00000000","","RICE","RICE - PRODUCTION, MEASURED IN CWT","TOTAL","NOT SPECIFIED","12,787,320","10.3"
"CENSUS","2012","YEAR","","COUNTY","CALIFORNIA","06","SACRAMENTO VALLEY","50","GLENN","021","","","00000000","","RICE","RICE - PRODUCTION, MEASURED IN CWT","TOTAL","NOT SPECIFIED","8,155,826","10.3"
"CENSUS","2012","YEAR","","COUNTY","CALIFORNIA","06","SACRAMENTO VALLEY","50","SACRAMENTO","067","","","00000000","","RICE","RICE - PRODUCTION, MEASURED IN CWT","TOTAL","NOT SPECIFIED","168,609","10.3"
"CENSUS","2012","YEAR","","COUNTY","CALIFORNIA","06","SACRAMENTO VALLEY","50","SOLANO","095","","","00000000","","RICE","RICE - PRODUCTION, MEASURED IN CWT","TOTAL","NOT SPECIFIED"," (D)","(D)"
"CENSUS","2012","YEAR","","COUNTY","CALIFORNIA","06","SACRAMENTO VALLEY","50","SUTTER","101","","","00000000","","RICE","RICE - PRODUCTION, MEASURED IN CWT","TOTAL","NOT SPECIFIED","9,666,540","10.3"
"CENSUS","2012","YEAR","","COUNTY","CALIFORNIA","06","SACRAMENTO VALLEY","50","TEHAMA","103","","","00000000","","RICE","RICE - PRODUCTION, MEASURED IN CWT","TOTAL","NOT SPECIFIED","120,079","10.3"
"CENSUS","2012","YEAR","","COUNTY","CALIFORNIA","06","SACRAMENTO VALLEY","50","YOLO","113","","","00000000","","RICE","RICE - PRODUCTION, MEASURED IN CWT","TOTAL","NOT SPECIFIED","2,963,648","10.3"
"CENSUS","2012","YEAR","","COUNTY","CALIFORNIA","06","SACRAMENTO VALLEY","50","YUBA","115","","","00000000","","RICE","RICE - PRODUCTION, MEASURED IN CWT","TOTAL","NOT SPECIFIED","2,670,523","10.3"
"CENSUS","2012","YEAR","","COUNTY","CALIFORNIA","06","SAN JOAQUIN VALLEY","51","FRESNO","019","","","00000000","","RICE","RICE - PRODUCTION, MEASURED IN CWT","TOTAL","NOT SPECIFIED","314,492","10.3"
"CENSUS","2012","YEAR","","COUNTY","CALIFORNIA","06","SAN JOAQUIN VALLEY","51","MADERA","039","","","00000000","","RICE","RICE - PRODUCTION, MEASURED IN CWT","TOTAL","NOT SPECIFIED"," (D)","(D)"
"CENSUS","2012","YEAR","","COUNTY","CALIFORNIA","06","SAN JOAQUIN VALLEY","51","MERCED","047","","","00000000","","RICE","RICE - PRODUCTION, MEASURED IN CWT","TOTAL","NOT SPECIFIED","248,198","10.3"
"CENSUS","2012","YEAR","","COUNTY","CALIFORNIA","06","SAN JOAQUIN VALLEY","51","SAN JOAQUIN","077","","","00000000","","RICE","RICE - PRODUCTION, MEASURED IN CWT","TOTAL","NOT SPECIFIED","354,712","10.3"
"CENSUS","2012","YEAR","","COUNTY","CALIFORNIA","06","SAN JOAQUIN VALLEY","51","STANISLAUS","099","","","00000000","","RICE","RICE - PRODUCTION, MEASURED IN CWT","TOTAL","NOT SPECIFIED","19,466","10.3"
"CENSUS","2012","YEAR","","COUNTY","CALIFORNIA","06","SIERRA MOUNTAINS","60","PLACER","061","","","00000000","","RICE","RICE - PRODUCTION, MEASURED IN CWT","TOTAL","NOT SPECIFIED","722,254","10.3"
"CENSUS","2012","YEAR","","COUNTY","CALIFORNIA","06","SISKIYOU-SHASTA","20","SISKIYOU","093","","","00000000","","RICE","RICE - PRODUCTION, MEASURED IN CWT","TOTAL","NOT SPECIFIED"," (D)","(D)"
"CENSUS","2012","YEAR","","COUNTY","FLORIDA","12","NORTHWEST","10","ESCAMBIA","033","","","00000000","","RICE","RICE - PRODUCTION, MEASURED IN CWT","TOTAL","NOT SPECIFIED"," (D)","(D)"
"CENSUS","2012","YEAR","","COUNTY","FLORIDA","12","SOUTHERN","80","COLLIER","021","","","00000000","","RICE","RICE - PRODUCTION, MEASURED IN CWT","TOTAL","NOT SPECIFIED"," (D)","(D)"
"CENSUS","2012","YEAR","","COUNTY","FLORIDA","12","SOUTHERN","80","HARDEE","049","","","00000000","","RICE","RICE - PRODUCTION, MEASURED IN CWT","TOTAL","NOT SPECIFIED","276","1.2"
"CENSUS","2012","YEAR","","COUNTY","FLORIDA","12","SOUTHERN","80","PALM BEACH","099","","","00000000","","RICE","RICE - PRODUCTION, MEASURED IN CWT","TOTAL","NOT SPECIFIED"," (D)","(D)"
"CENSUS","2012","YEAR","","COUNTY","ILLINOIS","17","SOUTHWEST","80","ALEXANDER","003","","","00000000","","RICE","RICE - PRODUCTION, MEASURED IN CWT","TOTAL","NOT SPECIFIED"," (D)","(D)"
"CENSUS","2012","YEAR","","COUNTY","LOUISIANA","22","CENTRAL","50","AVOYELLES","009","","","00000000","","RICE","RICE - PRODUCTION, MEASURED IN CWT","TOTAL","NOT SPECIFIED","869,960","12.4"
"CENSUS","2012","YEAR","","COUNTY","LOUISIANA","22","CENTRAL","50","CATAHOULA","025","","","00000000","","RICE","RICE - PRODUCTION, MEASURED IN CWT","TOTAL","NOT SPECIFIED","149,125","12.4"
"CENSUS","2012","YEAR","","COUNTY","LOUISIANA","22","CENTRAL","50","CONCORDIA","029","","","00000000","","RICE","RICE - PRODUCTION, MEASURED IN CWT","TOTAL","NOT SPECIFIED","700,442","12.4"
"CENSUS","2012","YEAR","","COUNTY","LOUISIANA","22","CENTRAL","50","EVANGELINE","039","","","00000000","","RICE","RICE - PRODUCTION, MEASURED IN CWT","TOTAL","NOT SPECIFIED","2,363,893","12.4"
"CENSUS","2012","YEAR","","COUNTY","LOUISIANA","22","CENTRAL","50","POINTE COUPEE","077","","","00000000","","RICE","RICE - PRODUCTION, MEASURED IN CWT","TOTAL","NOT SPECIFIED"," (D)","(D)"
"CENSUS","2012","YEAR","","COUNTY","LOUISIANA","22","CENTRAL","50","RAPIDES","079","","","00000000","","RICE","RICE - PRODUCTION, MEASURED IN CWT","TOTAL","NOT SPECIFIED","617,356","12.4"
"CENSUS","2012","YEAR","","COUNTY","LOUISIANA","22","CENTRAL","50","SAINT LANDRY","097","","","00000000","","RICE","RICE - PRODUCTION, MEASURED IN CWT","TOTAL","NOT SPECIFIED","1,651,746","12.4"
"CENSUS","2012","YEAR","","COUNTY","LOUISIANA","22","EAST CENTRAL","60","SAINT HELENA","091","","","00000000","","RICE","RICE - PRODUCTION, MEASURED IN CWT","TOTAL","NOT SPECIFIED"," (D)","(D)"
"CENSUS","2012","YEAR","","COUNTY","LOUISIANA","22","EAST CENTRAL","60","SAINT TAMMANY","103","","","00000000","","RICE","RICE - PRODUCTION, MEASURED IN CWT","TOTAL","NOT SPECIFIED"," (D)","(D)"
"CENSUS","2012","YEAR","","COUNTY","LOUISIANA","22","EAST CENTRAL","60","TANGIPAHOA","105","","","00000000","","RICE","RICE - PRODUCTION, MEASURED IN CWT","TOTAL","NOT SPECIFIED"," (D)","(D)"
"CENSUS","2012","YEAR","","COUNTY","LOUISIANA","22","NORTH CENTRAL","20","CALDWELL","021","","","00000000","","RICE","RICE - PRODUCTION, MEASURED IN CWT","TOTAL","NOT SPECIFIED"," (D)","(D)"
"CENSUS","2012","YEAR","","COUNTY","LOUISIANA","22","NORTH CENTRAL","20","LINCOLN","061","","","00000000","","RICE","RICE - PRODUCTION, MEASURED IN CWT","TOTAL","NOT SPECIFIED"," (D)","(D)"
"CENSUS","2012","YEAR","","COUNTY","LOUISIANA","22","NORTH CENTRAL","20","OUACHITA","073","","","00000000","","RICE","RICE - PRODUCTION, MEASURED IN CWT","TOTAL","NOT SPECIFIED"," (D)","(D)"
"CENSUS","2012","YEAR","","COUNTY","LOUISIANA","22","NORTHEAST","30","EAST CARROLL","035","","","00000000","","RICE","RICE - PRODUCTION, MEASURED IN CWT","TOTAL","NOT SPECIFIED","421,091","12.4"
"CENSUS","2012","YEAR","","COUNTY","LOUISIANA","22","NORTHEAST","30","MADISON","065","","","00000000","","RICE","RICE - PRODUCTION, MEASURED IN CWT","TOTAL","NOT SPECIFIED","169,552","12.4"
"CENSUS","2012","YEAR","","COUNTY","LOUISIANA","22","NORTHEAST","30","MOREHOUSE","067","","","00000000","","RICE","RICE - PRODUCTION, MEASURED IN CWT","TOTAL","NOT SPECIFIED","1,178,728","12.4"
"CENSUS","2012","YEAR","","COUNTY","LOUISIANA","22","NORTHEAST","30","RICHLAND","083","","","00000000","","RICE","RICE - PRODUCTION, MEASURED IN CWT","TOTAL","NOT SPECIFIED","651,110","12.4"
"CENSUS","2012","YEAR","","COUNTY","LOUISIANA","22","NORTHEAST","30","TENSAS","107","","","00000000","","RICE","RICE - PRODUCTION, MEASURED IN CWT","TOTAL","NOT SPECIFIED","105,646","12.4"
"CENSUS","2012","YEAR","","COUNTY","LOUISIANA","22","NORTHEAST","30","WEST CARROLL","123","","","00000000","","RICE","RICE - PRODUCTION, MEASURED IN CWT","TOTAL","NOT SPECIFIED","136,763","12.4"
